State/UT,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
Goa Total distt - 2 Districts reporting facility wise - 2,CHC,6,3,332,606,93,1,1,1,0
Goa Total distt - 2 Districts reporting facility wise - 2,PHC,29,8,286.1,905,36,4,13,4,0
Goa Total distt - 2 Districts reporting facility wise - 2,SC,218,201,40,424,2,16,1,0,0
Gujarat Total distt - 33 Districts reporting facility wise - 33,DH,24,16,644.6,1698,99,1,3,3,1
Gujarat Total distt - 33 Districts reporting facility wise - 33,SDH,37,33,2390,6376,208,0,1,1,2
Gujarat Total distt - 33 Districts reporting facility wise - 33,CHC,380,366,745.4,4794,25,4,6,0,4
Gujarat Total distt - 33 Districts reporting facility wise - 33,PHC,1798,1348,356.2,2649,2,84,266,71,29
Gujarat Total distt - 33 Districts reporting facility wise - 33,SC,9260,8882,41.4,278,1,341,37,0,0
Haryana Total distt - 22 Districts reporting facility wise - 22,DH,23,1,2110.8,12352,292,0,2,7,13
Haryana Total distt - 22 Districts reporting facility wise - 22,SDH,22,6,2653.3,30061,72,2,4,3,7
Haryana Total distt - 22 Districts reporting facility wise - 22,CHC,126,39,593.2,4064,18,9,32,33,13
Haryana Total distt - 22 Districts reporting facility wise - 22,PHC,475,391,402.3,1123,15,9,43,31,1
Haryana Total distt - 22 Districts reporting facility wise - 22,SC,2615,2599,125.4,420,1,10,6,0,0
Himachal Pradesh Total distt - 12 Districts reporting facility wise - 12,PHC,580,579,641,641,641,0,0,1,0
Himachal Pradesh Total distt - 12 Districts reporting facility wise - 12,SC,2165,2163,12.5,21,4,2,0,0,0
Jammu & Kashmir Total distt - 22 Districts reporting facility wise - 22,DH,24,3,719,1674,115,0,7,9,5
Jammu & Kashmir Total distt - 22 Districts reporting facility wise - 22,CHC,87,77,1402,8000,25,2,5,1,2
Jammu & Kashmir Total distt - 22 Districts reporting facility wise - 22,PHC,702,453,186.9,1937,5,101,130,14,4
Jammu & Kashmir Total distt - 22 Districts reporting facility wise - 22,SC,2671,2639,60,439,1,26,6,0,0
Jharkhand Total distt - 24 Districts reporting facility wise - 24,DH,23,2,620.7,1978,202,0,10,8,3
Jharkhand Total distt - 24 Districts reporting facility wise - 24,SDH,13,11,522.5,524,521,0,0,2,0
Jharkhand Total distt - 24 Districts reporting facility wise - 24,CHC,176,125,319.4,1819,5,15,27,6,3
Jharkhand Total distt - 24 Districts reporting facility wise - 24,PHC,343,286,262.8,652,4,7,45,5,0
